name,city,wifi,seat,quiet,tasty,cheap,music,url,latitude,longitude,limited_time,socket,standing_desk,mrt,open_time,
真的咖啡 Zhen De Coffee,taipei,5,4,4,3,3,4,https://www.facebook.com/pg/ZHENDECOFFEE,25.0001025,121.5383447,no,maybe,no,捷運萬隆站,,
男朋友•家,taipei,0,0,0,0,0,0,https://www.facebook.com/pg/Lan.Bing.You/about/?ref=page_internal,25.0544659,121.5356312,,,,,,
Cafe Fundoor 咖啡方桌,taipei,5,4,2,4,5,4,https://www.facebook.com/CafeFundoor/,25.0311982,121.5462302,no,maybe,no,大安站4號出口步5分,,
WeiCoffee.,taipei,0,0,0,0,0,0,,25.0537338,121.5350603,,,,,,
牧童咖啡 mutto coffee(福德店),taipei,4.5,4.5,4.5,4.5,4.5,4.5,https://www.facebook.com/muttocoffee,25.0696779,121.6389371,no,yes,no,,,
BRICK WORKS TAIPEI (花博店),taipei,5,3,3,5,0,0,,25.0696537,121.5217297,no,maybe,no,,,
Amandier cafe 雅蒙蒂創意飲食 新生店,taipei,0,0,0,0,0,0,https://amandier-cafe.business.site/,25.0470363,121.5302826,,,,,,
麥兜咖啡,taipei,5,5,5,5,5,5,https://www.facebook.com/mycoffeehouseluzhou,25.0820189,121.4587657,no,yes,yes,,,
湛盧咖啡(忠孝店),taipei,4,4.5,3,4,2.5,3.5,zhanlu-coffee.com,25.0414164,121.5449043,no,maybe,no,忠孝復興,,
A-way 方向咖啡,taipei,5,5,5,5,5,5,https://www.facebook.com/pg/awaycoffee23,25.0169359,121.530442,no,yes,,,,
A8 Café & Gallery,taipei,0,4,5,4,4,4,https://www.facebook.com/pages/category/Restaurant/A8-Cafe-310092842359876/,25.0249831,121.5494198,,,,,,
豆BAR,taipei,5,5,4.5,4.5,5,4.5,https://www.facebook.com/beanbarcoffee/,24.9961312,121.5031926,no,yes,no,景安,,
The Misanthrope Society 厭世會社,taipei,5,5,5,5,5,5,http://facebook.com/mis.society,25.015118,121.533287,no,yes,yes,公館站,,
路易莎樂群店,taipei,4,3,2,3,3,1.5,樂群路易莎直營店,25.079677,121.557198,no,no,no,,,
未央咖啡店,taipei,5,4,4,5,4,5,https://www.facebook.com/BCmidnightcafe/,25.026258,121.547415,no,yes,no,"科技大樓站步7分/公車站""鳳雛公園""步1分, ""臥龍街""步3分/YouBike""成功國宅""站步1分",,
果實咖啡堂,taipei,5,5,5,5,5,5,,25.0645582,121.5250633,maybe,maybe,yes,中山國小站,,
黑金魚咖啡館,taipei,0,4,3,5,5,5,https://www.facebook.com/%E9%BB%91%E9%87%91%E9%AD%9A%E5%92%96%E5%95%A1%E9%A4%A8-724948174284729/,25.1327138,121.4987251,no,no,yes,,,
二會 gojiby,taipei,4,3,4,4,3,4,,25.0492813,121.5200044,,,,,,
老派的約會,taipei,0,3,2,3,3,4,https://m.facebook.com/inoldpies/,24.9716916,121.543026,,,no,,,
草泥cafe,taipei,5,5,5,5,4.5,5,https://www.facebook.com/WeedonMudCafe/,25.023824,121.550105,maybe,yes,yes,六張犁,平日11:30-21:00、假日10:00-19:00,
Coffee Sind,taipei,5,4.5,3.5,5,4,3.5,https://www.facebook.com/CoffeeSind/?fref=ts,25.041092,121.532195,no,maybe,yes,忠孝新生,每個月公休日會用粉專公布,
Coffee Buff,taipei,0,0,0,0,0,0,https://www.facebook.com/pg/coffeebuff.TW/about/?ref=page_internal,25.082814,121.545876,,,,,,
Black Cafe 黑咖啡,taipei,4,4.5,4.5,5,4,4,https://www.facebook.com/pg/BlackCafe18/about/?ref=page_internal,25.0084411,121.5150809,,,,,,
威尼斯現烘咖啡,taipei,0,0,0,0,0,0,https://www.facebook.com/venicecoffee2018/,25.0276516,121.4631649,,,,,,
Sunday Morning 星期天早上,taipei,5,5,4,5,5,5,https://m.facebook.com/sunteabar/?ref=bookmarks,25.022068,121.5505806,no,yes,yes,,不定期公休於粉絲專頁公佈,
Strange Brew Coffe Roster 怪咖啡自家烘焙,taipei,5,3,5,4,4,3,https://www.facebook.com/strangebrewcoffeeroaster/,25.019182,121.5517394,no,maybe,yes,六張犁捷運站,,
Joco Latte,taipei,4,4,5,5,3,4,https://www.facebook.com/JocoLatte/,25.0574638,121.5425399,no,yes,no,,,
溫古咖啡Wengu cafe ,taipei,5,4,3,4,3,4,https://www.facebook.com/wengucafe/,25.0434449,121.5477706,maybe,yes,no,忠孝復興,,
米詩堤極北藍點,taipei,0,0,0,0,0,0,https://www.facebook.com/2007mistycake/,25.2856252,121.5234517,,,,,,
職藝咖啡,taipei,5,5,4,5,5,5,https://www.facebook.com/jhihyicafe/?modal=admin_todo_tour,25.0757493,121.3794562,no,yes,no,,,
胖豆恋 SWEET CAFE,taipei,0,0,0,0,0,0,,25.051097,121.515684,no,maybe,yes,,,
南美咖啡士林店,taipei,0,5,3,5,4,4,,25.0953305,121.5246671,no,no,no,,一~六 0800-2200 日0900-2000,
生產者咖啡,taipei,0,0,0,0,0,0,,25.0031464,121.4674412,,,,,,
Instil coffee dimension,taipei,0,0,0,0,0,0,,25.0309893,121.542826,,yes,no,,,
Cafe Walker,taipei,5,5,3,4,5,3,,25.032214,121.560539,no,no,yes,,,
翁林．林Caf'e,taipei,5,4,4,4,4,4,https://www.facebook.com/wenglinlincafe/about/,25.0222591,121.4702863,maybe,yes,no,新埔站3號出口步2分,11:00 - 21:00 六日1000- 週二休,
Balcony 陽台 Café,taipei,4,3,4.5,4,4,4,https://www.facebook.com/balconycafe2F/,25.081589,121.545608,no,yes,no,大直,11:00 - 22:00       週一公休,
喬安拾豆咖啡 Gian 6 degrees Coffee,taipei,0,3,4,4,4,4,https://www.facebook.com/6degress/,25.0355027,121.5450064,,,,"大安站6號出口步4分/公車站""和安里""步2分/YoubBike""復興南路一段340巷口""站步3分, ""仁愛醫院""站步4分",,
石尚自然探索屋 二子坪店,taipei,5,3,4,5,0,0,,25.1860896,121.5252407,no,,,,,
喜鵲咖啡 Magpie Caf'e,taipei,0,0,0,0,0,0,,25.0470572,121.5402901,,,,,,
COFFEE: CAPE,taipei,5,5,5,5,5,5,https://page.line.me/acb0672a,24.9751029,121.536927,no,no,yes,綠線-七張站,遇臨時公休，於Line網頁公告,
希望種子咖啡工坊,taipei,5,4,5,4,4,5,https://www.facebook.com/hopeseedcoffee/,24.9713766,121.5429818,no,maybe,no,,,
N2-coffee Bike 氮氣冷萃咖啡,taipei,0,0,0,0,0,0,,25.035868,121.5255546,,no,no,,,
OrigInn Space,taipei,5,4,3,4,3,4,https://www.facebook.com/OrigInnSpace/,25.0535585,121.5100807,,maybe,no,,,
白日夢TEA&CAFE,taipei,0,0,0,0,0,0,https://www.facebook.com/daydreamer.tea.cafe/,25.2790084,121.6061039,,,,,,
鴉埠咖啡 YABOO II 貳號店,taipei,0,0,0,0,0,0,,25.030483,121.529266,,,,,,
咖朵咖啡,taipei,0,0,0,0,0,0,,25.0425613,121.5477047,,,,,,
凱倫咖啡,taipei,5,5,5,3,5,3,https://www.facebook.com/Karens-cafe-200979410361463/,25.056744,121.523906,no,yes,yes,,下午兩點到五點不供餐,
曼曼咖啡,taipei,0,0,4,0,5,5,,25.1712956,121.4451182,maybe,maybe,no,,非固定公休,
塞特咖啡場所  coffee site,taipei,5,4,4,4,5,5,https://www.facebook.com/Coffee-Site-%E5%A1%9E%E7%89%B9-%E5%92%96%E5%95%A1%E5%A0%B4%E6%89%80-1810716089209843/?ref=py_c,25.062203,121.5002682,no,,no,,8:00-20:00,
咖啡葉 CoffeeLeaf,taipei,0,0,0,0,0,0,,25.0649113,121.4972469,,,,,,
Moi Cafe 仁愛店,taipei,3,4,4,4,4,4,https://www.facebook.com/Moi-cafe-%E4%BB%81%E6%84%9B%E5%BA%97-1591715957777576/,25.037229,121.5569862,no,maybe,no,,,
es Cafe,taipei,0,0,0,0,0,0,,25.059268,121.518424,,,,,,
虹喬咖啡,taipei,0,5,0,5,5,0,https://www.facebook.com/pages/%E8%99%B9%E5%96%AC%E5%92%96%E5%95%A1/112968785446880,25.0717422,121.5181439,no,,yes,圓山,,
19烘豆研究室,taipei,0,0,0,0,0,0,https://www.facebook.com/pg/19coffeeroastinglab/about/?ref=page_internal,25.0597868,121.5641462,,,,,,
Cross Café克勞斯咖啡店,taipei,5,5,3,5,3,5,https://www.facebook.com/mycrosscafe,25.0386526,121.5466962,maybe,yes,no,,,
咖竅Cotcha Coffee 永春店,taipei,1,2.5,1.5,2.5,3.5,2,http://www.cotchacoffee.com/,25.040422,121.575344,yes,no,no,永春,,
Ferrari coffee ,taipei,3,5,4,5,5,5,https://www.facebook.com/ferraris.coffee.1/,25.0645026,121.5247676,no,yes,yes,捷運中山國小站,7-19,
1315 coffee,taipei,5,4,5,4,4,5,https://www.facebook.com/1315coffee,25.043523,121.566915,no,,,,,
逗留食間Time Point,taipei,0,0,0,0,0,0,,25.0212165,121.5230419,,,no,,,
加爾第咖啡(莊敬店),taipei,5,4,4,5,3,5,https://www.facebook.com/KaldiCoffee1989JJ/,25.027609,121.563975,no,yes,no,"台北101/世貿站2, 3號出口步10分/公車站""臺北醫學大學""''信義國中(莊敬)''步2分/YouBike""台北醫學大學""""台北市災害應變中心""站步4分",,
La Grotta,taipei,5,5,5,5,3,5,https://www.facebook.com/lagrottataipei,25.038885,121.5078383,maybe,no,no,西門/小南門,13:00~22:00          週四公休,
Coffee to know 咖啡知道,taipei,0,0,0,0,0,0,,25.0502211,121.5772625,,,,,,
自由51,taipei,5,5,5,4,4,4,https://www.facebook.com/pg/freedom51,25.0073894,121.5378133,no,yes,no,,12:00-00:00,
settled cafe,taipei,4,5,5,5,4,5,https://www.facebook.com/settledcafe/,25.0464223,121.5042021,maybe,maybe,no,,,
MamiCoffee媽咪咖啡館,taipei,5,4,4,5,4,4,https://www.facebook.com/mamicoffee/,25.1185931,121.5253364,,maybe,no,,,
May i COFFEE you ? 美艾咖啡友,taipei,0,0,0,0,0,0,,25.043555,121.45826,,maybe,no,,,
半路咖啡halfway cafe,taipei,5,4.5,4,4,4,5,https://www.facebook.com/%E5%8D%8A%E8%B7%AF%E5%92%96%E5%95%A1-766746760013130/,25.020138,121.531603,no,yes,yes,"台電大樓站2號出口步5分/公車站""溫州街口""步3分, ""台電大樓""步4分/YouBike""捷運台電大樓站(2號出口)""站步6分, ""辛亥新生路口""站步7分",,
丹堤咖啡,taipei,2,2,2,3,3,2,,25.0245088,121.5476531,,,,,,
好日子咖啡,taipei,4,4,3.5,4,5,4,https://www.facebook.com/MDcafe293/,25.1187368,121.5159304,no,no,,,0800-2100,
叁拾叁咖啡 - 安東店,taipei,0,0,0,0,0,0,,25.04656,121.5418047,,,,,,
台博咖啡館恐龍餐廳,taipei,5,3,3,5,0,0,,25.0435651,121.5141637,,,,,,
小紅帽咖啡Julius Meinl,taipei,0,0,0,0,0,0,https://www.meinlcoffee.com.tw/Shop/StoreDetail/39337/22103,25.0366411,121.545911,,,,,,
老窩咖啡-林口仁愛店,taipei,5,4,5,5,4,5,,25.0770847,121.3740369,no,maybe,yes,,,
Here Caffe這兒咖啡,taipei,5,5,1,3,3.5,3,https://www.facebook.com/here.caffe/,24.988674,121.573599,maybe,maybe,no,,1130～2100,
George House,taipei,3.5,5,3,5,3,4,http://www.georgehousefinecoffee.com,25.0596165,121.534755,maybe,maybe,no,東門站,,
點點甜甜 Ten Ten Den Den,taipei,4.5,3.5,3,4.5,4,4,https://www.facebook.com/tentendenden/?fref=ts,25.0173549,121.461712,maybe,no,no,,,
兜麥咖啡,taipei,0,0,0,0,0,0,https://www.facebook.com/mycoffeehouseluzhou,25.0831779,121.4610058,,,,,,
布夏拉堤,taipei,4,5,4.5,4,4,5,https://www.facebook.com/bucciaratica?fref=ts,25.0798622,121.5925028,maybe,yes,no,,,
It's Coffee,taipei,0,0,0,0,0,0,,25.050809,121.522738,,,,,,
The Quiet Light 默光咖啡,taipei,0,4,5,5,5,5,https://www.facebook.com/The-Quiet-Light-%E9%BB%98%E5%85%89%E5%92%96%E5%95%A1-113308956897457/,25.0266049,121.5393518,yes,yes,yes,科技大樓站,,
中央公園咖啡館,taipei,5,5,5,4,4,5,https://www.facebook.com/centralparkatTaipei/?fref=ts,25.018081,121.530254,maybe,yes,yes,"台電大樓站2號出口步5分, 公館站4號出口步7分/公車站""台電大樓""步2分/YouBike""捷運台電大樓站(2號出口)""站步5分, ""羅斯福新生南路口""站步6分",,
爺茶 GRANDPA,taipei,4,5,4,4,5,5,https://www.facebook.com/GRANDPA.tea/,25.0542429,121.5349749,no,maybe,yes,,10:00 - 22:00,
boven cafe,taipei,0,0,0,0,0,0,https://www.facebook.com/pg/bovencafe/about/?ref=page_internal,25.0441952,121.5451715,,,,,,
小城外珈琲 Caffé CityNorth,taipei,5,5,4,5,4,5,https://www.facebook.com/caffecitynorth/,25.0564743,121.5107779,no,maybe,yes,捷運北門站3號出口,19:00~26:00為酒吧，供應調酒,
 Lagom cafe 拉革姆咖啡,taipei,5,5,3.5,4.5,4,5,https://www.facebook.com/LAGOMCOFFEE.TAIPEI/,25.0617829,121.5868605,maybe,yes,yes,坐到昆陽站或松山站，再轉公車。,,
漸漸咖啡店,taipei,5,5,5,5,4,5,https://www.facebook.com/cafegugu/,25.0403858,121.5261773,maybe,yes,no,"善導寺站5號出口步9分, 忠孝新生站2號出口步10分/公車站""臺北商大(杭州)""""仁愛路二段""""濟南路二段""步2分, ""金山泰安街口""步4分/YouBike""濟南紹興路口""站步4分",,
Condos coffee&tea莉園商行,taipei,4,5,4.5,5,2,3,https://www.facebook.com/%E8%8E%89%E5%9C%92%E5%95%86%E8%A1%8C-673209776058028/,25.036126,121.5257065,no,no,no,東門,,
滿滿咖啡,taipei,0,0,0,0,0,0,,25.0806105,121.522082,,,,,,
晴境易得,taipei,5,5,5,4,3.5,4.5,https://www.facebook.com/pg/EIDOS.Cafe/about/?ref=page_internal,25.0424028,121.5400551,no,maybe,,忠孝復興,一～六 10:45-19:00,
The Antipodean Specialty Coffee,taipei,5,3,3,5,3,5,https://m.facebook.com/TheAntipodean/?locale2=zh_TW,25.082664,121.577807,maybe,maybe,no,港墘站,9:00-18:00,
小食糖 sugar bistro,taipei,4.5,4,3,4,3,4,https://www.facebook.com/sugar.bistro,25.034252,121.529468,no,maybe,yes,東門, 11:00–20:00,
一文咖啡,taipei,5,5,5,5,3.5,4.5,https://www.facebook.com/PennyUniversityCoffee/,25.050894,121.557035,no,no,yes,南京三民,11:30~21:00周一公休,
香遇Arom amour,taipei,0,0,0,0,0,0,,25.0539207,121.5364784,,,,,,
The Aroma ,taipei,5,3,4,5,3,4,https://www.facebook.com/thearoma/,25.04081,121.506566,no,,,,公平貿易Faircafe聯盟,
窩著咖啡 perch cafe,taipei,5,4,4,4.5,4,5,,25.0509018,121.5335673,,,,,,
 Cafe Ballet 芭蕾咖啡館,taipei,5,5,4,3,3,2,https://www.facebook.com/balletcafe/,25.0571355,121.5604765,maybe,maybe,yes,,週末提供早午餐，週間提供輕食,
Emu Cafe,taipei,5,5,5,5,5,5,https://www.facebook.com/emutaipei/,25.0561412,121.6114122,no,yes,yes,,關店時間可配合客人調整延後,
Orange看電車咖啡館,taipei,2,4,4,4,4,3.5,https://www.facebook.com/Orange%E7%9C%8B%E9%9B%BB%E8%BB%8A%E5%92%96%E5%95%A1%E9%A4%A8-177610632275101/,25.0919579,121.5263679,no,yes,no,"士林站2號出口步2分/公車站""小北街""步1分, ""台電台北北區營業處""""士林分局""步4分/YouBike""捷運士林站(2號出口)""站步2分",,
Let’s Café咖啡旗艦店（全家便利商店 敦新店）,taipei,0,0,0,0,0,0,,25.0369716,121.5497423,,,,,,
野夫咖啡 板橋府中店,taipei,5,5,5,4,4,5,https://www.facebook.com/ifreecafeNo7/,25.011103,121.460051,,,,,,
香投咖啡,taipei,0,0,0,0,0,0,https://www.facebook.com/sanntoucoffeetaipei/,25.0816154,121.5891974,,,,,,
THIRD FLOOR COFFEE 在三樓,taipei,5,4,5,4.5,2.5,4,,25.047267,121.543217,,,,,,
N3 Cafe恩山咖啡,taipei,0,3,3,5,4,4,,25.0557911,121.5210944,,no,no,,,
Coffee Maker,taipei,5,2,5,5,4,0,https://www.facebook.com/coffeemaker29662510,25.0080836,121.4580825,no,no,no,府中站,8:30 - 18:00 星期日休,
路易莎土城中央店,taipei,4,4,3,4,3,5,https://www.facebook.com/nir4402e/,24.974911,121.44166,no,no,no,土城捷運站,0700-2100,
風曜咖啡坊,taipei,5,5,5,5,5,5,https://www.facebook.com/Kazeyoucoffee/,25.0366108,121.547138,no,yes,yes,大安站,不定期公休日公告於FB粉專,
色咖啡,taipei,1,3,3,5,5,4,https://www.facebook.com/Coffee-Jack-201488903221960/,25.0442259,121.510552,,,,,,
咖樂烘豆colorroast,taipei,0,3,3,4,3,4,https://www.facebook.com/pg/%E5%92%96%E6%A8%82%E7%83%98%E8%B1%86colorroast-1641570899442432/about/?ref=page_internal,25.0431579,121.5538405,no,no,yes,,7:30 - 22:00(平日~週六) 8:00~18:00(週日),
Cafe Pichot,taipei,5,4.5,4.5,4,4.5,4.5,https://www.facebook.com/cafepichot/,25.0506635,121.543099,no,no,yes,南京復興,,
Cho cafe如固咖啡,taipei,4,4,3,5,3,5,https://www.facebook.com/chocafemaru/,25.0418973,121.5047744,no,maybe,yes,,"週三公休，日~四 08:00~18:00, 五~六 08:00~21:00",
Coffee Boy Hop Man,taipei,5,4.5,4.5,5,3.5,4.5,https://www.facebook.com/coffeeboyhopman/,25.0194492,121.5318148,no,maybe,yes,台電大樓站,,
Pica Pica Café 喜鵲咖啡,taipei,5,4,4,4,4,5,https://www.facebook.com/picapicafe/,25.020938,121.531749,no,yes,no,"台電大樓站2號出口步5分/公車站""溫州街口""步2分, ""新民國小""步3分, ""台大綜合體育館""步4分, ""台電大樓""步5分/YouBike""辛亥新生路口""站步5分, ""捷運台電大樓站(2號出口)""站步6分, ""羅斯福新生南路口""站步9分",,
田邊聊寮,taipei,5,3,3,5,3,0,http://monghoho.blogspot.tw/p/blog-page_13.html,24.9764889,121.8918169,,,,,,
阿福草｜輕食‧飲,taipei,3.5,4,3,3,3,3,http://1www.tnua.edu.tw/intro/super_pages.php?ID=intro5&Sn=265,25.1325182,121.4696818,no,maybe,no,,,
冰斗喫甜,taipei,0,0,0,0,0,0,,25.0242462,121.5145617,,,,,,
Congrat's cafe 西門店,taipei,0,0,0,0,0,0,,25.045296,121.5049096,,,,,,
彼得好咖啡,taipei,4,4,3,4,5,4,https://www.facebook.com/pbcoffee/,25.0350754,121.4488414,,,,新莊,,
 河田咖啡館,taipei,0,0,0,0,0,0,https://www.facebook.com/HTcafe888/,25.0548342,121.5240024,,,,,,
雲上咖啡,taipei,5,5,4,5,5,4,https://www.facebook.com/%E9%9B%B2%E4%B8%8A%E5%92%96%E5%95%A1-1436636329890947/?fref=ts,24.963749,121.540481,maybe,yes,no,,,
Coffee Sweet,taipei,1,3,4,5,4,4,https://www.facebook.com/pages/Coffee-Sweet/141425302587648,25.0483789,121.5221988,no,no,no,善導寺、台北車站、中山站,09:30~18:30  週日休息、除夕到初五休息,
引路咖啡,taipei,5,5,5,5,4,5,https://www.facebook.com/pharoscoffee/,25.037749,121.576446,no,maybe,no,,12：00~18：00，週一休,
錘子咖啡淡大店,taipei,0,0,0,0,0,0,,25.1740706,121.4473008,,,,,,
小苗苗。精品咖啡 ,taipei,0,0,0,0,0,0,https://www.facebook.com/littlemiaocoffee/,22.6835233,120.5016509,,,,,,
LIN CAFE木木珈琲,taipei,5,5,4,5,4,5,https://www.facebook.com/lincafe2016/,25.0850896,121.4790964,no,maybe,no,"徐匯中學站1號, 2號出口步8分/公車站""信義路""前/YouBike""鷺江廣場""站步3分",,
珍妃咖啡坊-復興店,taipei,0,0,0,0,0,0,https://www.facebook.com/ZFcoffee,25.057097,121.545061,,,,,,
西雅圖極品嚴焙咖啡館 Barista Premium,taipei,3,4,3,4,3,4,,25.0411942,121.55446,,,,,,
八月十六咖啡,taipei,5,5,5,5,5,5,https://www.facebook.com/aug16coffee/,25.1115578,121.5287841,no,yes,yes,,,
The Shed,taipei,0,0,0,0,0,0,https://www.facebook.com/theshed.tw/,25.0239895,121.5469732,no,yes,no,,,
雲海咖啡,taipei,0,0,0,0,0,0,https://www.facebook.com/nuagedumer,25.0080691,121.5220146,,,,,,
Naissance Coffee ,taipei,5,5,4,3,4,4,,25.0223011,121.5258045,maybe,,,,,
溫床 NEST,taipei,5,3,3.5,4,3,4,https://www.facebook.com/nest.taipei/,25.03025,121.531324,no,yes,yes,東門,12:00 - 21:00,
安和353咖啡會館,taipei,4,5,5,3,2.5,4,https://www.facebook.com/%E5%AE%89%E5%92%8C353%E5%92%96%E5%95%A1%E6%9C%83%E9%A4%A8-712242285885693/,25.0318376,121.5528962,no,maybe,no,,,
創客咖啡館 V CAfé,taipei,4,4,3,4,4,3,https://www.facebook.com/isV.cafe,25.039523,121.5504128,yes,maybe,yes,忠孝敦化,10:00-21:00,
風箏人咖啡,taipei,5,5,4.5,4.5,4,5,https://www.facebook.com/kitepeoplecafe/,25.0001998,121.5461527,maybe,maybe,yes,萬芳捷運站、萬隆捷運站,,
Imperfect coffee & matcha,taipei,4,4,3,4,3,4,https://www.facebook.com/imperfectcafe/,25.0173015,121.5331637,no,yes,yes,"公館站3號出口步4分, 台電大樓站2號出口步9分/公車站""台大""步2分, ""台電大樓""""捷運公館站""步4分/YouBike""羅斯福新生南路口""站步3分",,
欒樹下書房咖啡,taipei,5,4.5,5,4,3,4.5,https://www.facebook.com/editorsbookscafe/,25.023319,121.533193,no,yes,no,台電大樓,10:30-20:30(21:30),
CAFE RACO,taipei,4,5,4,3,4,5,https://www.facebook.com/CAFERACO/,25.0585287,121.5349366,no,yes,no,行天宮站,,
工寓咖啡,taipei,5,4,3,4,4,4,https://www.facebook.com/cafeindustryone,25.0320343,121.4329607,no,yes,yes,輔大站,10:00 - 22:00,
蘿菈愛咖啡 Rola I Coffee,taipei,5,5,3,5,3,5,https://www.facebook.com/Rolaicoffee/,25.045359,121.527111,no,,no,,,
 Flügel Studio,taipei,4,2.5,3,2.5,2.5,4.5,https://www.facebook.com/Fl%C3%BCgel-studio-%E4%B8%80%E9%96%93%E9%97%9C%E6%96%BC%E7%94%9F%E6%B4%BB%E5%9B%9E%E6%86%B6%E8%88%87%E6%89%8B%E4%BD%9C%E5%AE%B6%E5%B8%B8%E7%94%9C%E9%BB%9E%E7%9A%84Cafe-528287967306671/,25.0197256,121.5302455,,,no,,,
KONZY KAVA,taipei,5,5,5,5,5,5,https://www.facebook.com/KONZY-KAVA-111546416856016/,25.0551856,121.5437075,maybe,yes,yes,南京復興站,詳細訊息依粉專公告為準,
Miss May Cafe,taipei,0,0,0,0,0,0,,24.9790716,121.5429428,no,maybe,yes,大坪林、七張,,
岩戸珈琲店 Iwato Coffee ,taipei,0,0,0,0,0,0,https://www.iwato-coffee.com/,25.070694,121.518747,,no,no,,,
宸品咖啡,taipei,0,4.5,3.5,5,5,2.5,https://www.facebook.com/%E5%AE%B8%E5%93%81%E5%92%96%E5%95%A1-472800089434228/,25.0260844,121.5322824,no,no,no,,,
